ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
MSFT,12/12/2017,85.58,23821210,85.31,86.05,85.08,0%
TSLA,12/12/2017,341.03,8715570,330.45,341.44,330.03,3%
AAPL,12/13/2017,172.27,23402510,172.5,173.54,172,0%
AMZN,12/13/2017,1164.13,2588740,1170,1170.87,1160.27,-1%
GOOGL,12/13/2017,1051.39,1383935,1052.08,1055.48,1046.58,0%
GOOG,12/13/2017,1040.61,1220364,1046.12,1046.665,1038.38,-1%
MSFT,12/13/2017,85.35,21708830,85.74,86,85.17,0%
TSLA,12/13/2017,339.03,6217701,340.93,344.22,336.5,-1%
AAPL,12/14/2017,172.22,20442740,172.4,173.13,171.65,0%
AMZN,12/14/2017,1174.26,3120265,1163.71,1177.93,1162.45,1%
GOOGL,12/14/2017,1057.47,1545568,1055.49,1067.08,1053.595,0%
GOOG,12/14/2017,1049.15,1558684,1045,1058.5,1043.11,0%
MSFT,12/14/2017,84.69,19302690,85.43,85.8739,84.53,-1%
TSLA,12/14/2017,337.89,5792024,341.01,347.44,336.9,-1%
AAPL,12/15/2017,173.97,40122100,173.63,174.17,172.46,0%
AMZN,12/15/2017,1179.14,4775009,1179.03,1182.75,1169.33,0%
GOOGL,12/15/2017,1072,3184555,1063.78,1075.25,1060.0901,1%
GOOG,12/15/2017,1064.19,3275091,1054.61,1067.62,1049.5,1%
MSFT,12/15/2017,86.85,53921240,85.26,87.09,84.88,2%
TSLA,12/15/2017,343.45,6921246,342.04,343.9,335.76,0%
AAPL,12/16/2017,173.97,40122100,173.63,174.17,172.46,0%
AMZN,12/16/2017,1179.14,4775009,1179.03,1182.75,1169.33,0%
GOOGL,12/16/2017,1072,3184555,1063.78,1075.25,1060.0901,1%
GOOG,12/16/2017,1064.19,3275091,1054.61,1067.62,1049.5,1%
MSFT,12/16/2017,86.85,53921240,85.26,87.09,84.88,2%
TSLA,12/16/2017,343.45,6921246,342.04,343.9,335.76,0%
AAPL,12/17/2017,173.97,40122100,173.63,174.17,172.46,0%
AMZN,12/17/2017,1179.14,4775009,1179.03,1182.75,1169.33,0%
GOOGL,12/17/2017,1072,3184555,1063.78,1075.25,1060.0901,1%
GOOG,12/17/2017,1064.19,3275091,1054.61,1067.62,1049.5,1%
MSFT,12/17/2017,86.85,53921240,85.26,87.09,84.88,2%
TSLA,12/17/2017,343.45,6921246,342.04,343.9,335.76,0%
AAPL,12/18/2017,176.42,29385650,174.88,177.2,174.86,1%
AMZN,12/18/2017,1190.58,2943252,1187.37,1194.78,1180.91,0%
GOOGL,12/18/2017,1085.09,1512241,1076.45,1086.49,1070.37,1%
GOOG,12/18/2017,1077.14,1552016,1066.08,1078.49,1062,1%
MSFT,12/18/2017,86.38,22278960,87.12,87.4999,86.23,-1%
TSLA,12/18/2017,338.87,5466546,344.9,346.73,337.58,-2%
AAPL,12/19/2017,174.54,27393660,175.03,175.39,174.09,0%
AMZN,12/19/2017,1187.38,2574578,1189.15,1192.97,1179.1401,0%
GOOGL,12/19/2017,1079.78,1291608,1083.02,1084.975,1072.2704,0%
GOOG,12/19/2017,1070.68,1307894,1075.2,1076.84,1063.55,0%
MSFT,12/19/2017,85.83,23339920,86.35,86.35,85.27,-1%
TSLA,12/19/2017,331.1,6820868,340.26,341.4925,330.3,-3%
AAPL,12/20/2017,174.35,23451420,174.87,175.42,173.25,0%
AMZN,12/20/2017,1177.62,2364984,1190.5,1191,1176,-1%
GOOGL,12/20/2017,1073.56,1435721,1080.92,1081.235,1068.6,-1%
GOOG,12/20/2017,1064.95,1268285,1071.78,1073.38,1061.52,-1%
MSFT,12/20/2017,85.52,23584190,86.2,86.3,84.71,-1%
TSLA,12/20/2017,328.98,5907378,332.69,333.1,325.04,-1%
AAPL,12/21/2017,175.01,20848660,174.17,176.02,174.1,0%
AMZN,12/21/2017,1174.76,2055103,1175.9,1179.17,1167.64,0%
